dept_code,title_en,title_fr,name,name_en,name_fr,start_date,end_date,witness_id,deadline
MSBEP,Minister of Small Business and Export Promotion,Ministre de la Petite Entreprise et de la Promotion des exportations,Mary Ng,"Ng, Mary (Hon.)","Ng, Mary (L’hon.)",2018-07-18T10:00:00,2021-10-26T10:29:59,253401,2018-11-15T10:00:00
MSPA,Minister of Sport and Physical Activity,Ministre des sports et de l’activité physique,Carla Qualtrough,"Qualtrough, Carla (Hon.)","Qualtrough, Carla (L’hon.)",2023-07-26T10:30:00,,300028,2023-11-23T10:30:00
MT,Minister of Transport,Ministre des Transports,Pablo Rodriguez,"Rodriguez, Pablo (Hon.)","Rodriguez, Pablo (L’hon.)",2023-07-26T10:30:00,,300025,2023-11-23T10:30:00
MT,Minister of Transport,Ministre des Transports,Omar Alghabra,"Alghabra, Omar (Hon.)","Alghabra, Omar (L’hon.)",2021-01-12T00:00:00,2023-07-26T10:29:59,271245,2021-05-12T00:00:00
MT,Minister of Transport,Ministre des Transports,Marc Garneau,"Garneau, Marc (Hon.)","Garneau, Marc (L’hon.)",2015-11-04T10:45:00,2021-01-11T23:59:59,214333,2016-03-03T10:45:00
MT1,Minister of Tourism,Ministre du tourisme,Soraya Martinez Ferrada,"Martinez Ferrada, Soraya (Hon.)","Martinez Ferrada, Soraya (L’hon.)",2023-07-26T10:30:00,,,2023-11-23T10:30:00
MT1,Minister of Tourism,Ministre du tourisme,Randy Boissonnault,"Boissonnault, Randy (Hon.)","Boissonnault, Randy (L’hon.)",2021-10-26T10:30:00,2023-07-26T10:29:59,,2022-02-23T10:30:00
MVA,Minister of Veterans Affairs,Ministre des Anciens Combattants,Ginette Petitpas Taylor,"Petitpas Taylor, Ginette (Hon.)","Petitpas Taylor, Ginette (L’hon.)",2023-07-26T10:30:00,,300036,2023-11-23T10:30:00
MVA,Minister of Veterans Affairs,Ministre des Anciens Combattants,Lawrence MacAulay,"MacAulay, Lawrence (Hon.)","MacAulay, Lawrence (L’hon.)",2019-03-01T10:30:01,2023-07-26T10:29:59,246259,2019-06-29T10:30:01
MWGE,Minister for Women and Gender Equality,Ministre des Femmes et de l’Égalité des genres,Maryam Monsef,"Monsef, Maryam (Hon.)","Monsef, Maryam (L’hon.)",2018-12-13T00:00:00,2021-10-26T10:29:59,253407,2019-04-12T00:00:00
MWGEY,Minister for Women and Gender Equality and Youth,Ministre des femmes et de l’égalité des genres et de la jeunesse,Marci Ien,"Ien, Marci (Hon.)","Ien, Marci (L’hon.)",2021-10-26T10:30:00,,278916,2022-02-23T10:30:00
PKPCC,President of the King’s Privy Council for Canada,Président du conseil privé du roi pour le canada,Harjit S. Sajjan,"Sajjan, Harjit S. (Hon.)","Sajjan, Harjit S. (L’hon.)",2023-07-26T10:30:00,,300020,2023-11-23T10:30:00
PM,Prime Minister,Premier ministre,Justin Trudeau,"Trudeau, Justin (Right Hon.)","Trudeau, Justin (Le très hon.)",2015-11-04T10:45:00,,214296,2016-03-03T10:45:00
PQPCC,President of the Queen’s Privy Council for Canada,Président du Conseil privé de la Reine pour le Canada,Bill Blair,"Blair, Bill (Hon.)","Blair, Bill (L’hon.)",2021-10-26T10:30:00,2022-10-10T23:59:59,278903,2022-02-23T10:30:00
PQPCC,President of the Queen’s Privy Council for Canada,Président du Conseil privé de la Reine pour le Canada,Dominic LeBlanc,"LeBlanc, Dominic (Hon.)","LeBlanc, Dominic (L’hon.)",2019-11-20T15:00:00,2021-10-26T10:29:59,263834,2020-03-19T15:00:00
PTB,President of the Treasury Board,Président du Conseil du Trésor,Anita Anand,"Anand, Anita (Hon.)","Anand, Anita (L’hon.)",2023-07-26T10:30:00,,300030,2023-11-23T10:30:00
PTB,President of the Treasury Board,Président du Conseil du Trésor,Mona Fortier,"Fortier, Mona (Hon.)","Fortier, Mona (L’hon.)",2021-10-26T10:30:00,2023-07-26T10:29:59,278907,2022-02-23T10:30:00
PTB,President of the Treasury Board,Président du Conseil du Trésor,Jean-Yves Duclos,"Duclos, Jean-Yves (Hon.)","Duclos, Jean-Yves (L’hon.)",2019-11-20T15:00:00,2021-10-26T10:29:59,253369,2020-03-19T15:00:00
SRP,Special Representative for the Prairies,Représentant spécial pour les Prairies,Jim Carr,"Carr, Jim (Hon.)","Carr, Jim (L’hon.)",2021-01-12T00:00:00,2021-10-26T10:29:59,,2021-05-12T00:00:00
