Witness ID,Witness Name,Title,Organization,Meeting Name,Date,Time,Acronym,Notice Link,Evidence Link,Minutes Link
88318,Mr. Mario Tremblay,", Vice-President",Fonds de solidarité des travailleurs du Québec,FINA,"Wednesday, October 18, 2017",11:04 a.m. - 1:59 p.m. (EDT),FINA,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/42-1/FINA/meeting-21/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/42-1/FINA/meeting-21/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/42-1/FINA/meeting-21/minutes
88318,Mr. Mario Tremblay,", Vice-President",Fonds de solidarité des travailleurs du Québec,FINA,"Tuesday, May 17, 2016",11:04 a.m. - 1:59 p.m. (EDT),FINA,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/42-1/FINA/meeting-21/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/42-1/FINA/meeting-21/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/42-1/FINA/meeting-21/minutes
88302,Mr. Trevor Hanna,", Vice-President",Fédération étudiante universitaire du Québec,FINA,"Wednesday, October 25, 2006",9:00 a.m. - 11:56 a.m. (EDT),FINA,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-42/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-42/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-42/minutes
88300,Dr. Katherine Schultz,", Vice-President",University of Prince Edward Island,FINA,"Tuesday, October 24, 2006",9:01 a.m. - 12:03 p.m. (ADT),FINA,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-40/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-40/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-40/minutes
88309,Ms. Sharon E. Maloney,", Executive Director",Polytechnics Canada,INDU,"Tuesday, October 31, 2006",3:30 p.m. - 5:30 p.m. (EST),INDU,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/INDU/meeting-24/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/INDU/meeting-24/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/INDU/meeting-24/minutes
88309,Ms. Sharon E. Maloney,", Executive Director",Polytechnics Canada,FINA,"Tuesday, October 31, 2006",3:31 p.m. - 5:40 p.m. (EDT),FINA,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-24/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-24/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-24/minutes
88309,Ms. Sharon E. Maloney,", Executive Director",Polytechnics Canada,FINA,"Wednesday, September 27, 2006",3:31 p.m. - 5:40 p.m. (EDT),FINA,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-24/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-24/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-24/minutes
88283,Mrs. Debra Mayer,", Director",SpeciaLink: The National Centre for Child Care Inclusion,FINA,"Friday, October 6, 2006",9:02 a.m. - 12:03 p.m. (CST),FINA,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-31/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-31/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-31/minutes
88306,Ms. Elizabeth E. Ablett,", Executive Director",Ontario Coalition for Better Child Care,FINA,"Thursday, October 26, 2006",9:01 a.m. - 12:00 p.m. (EDT),FINA,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-44/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-44/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-44/minutes
88299,Ms. Susan Whittaker,", Chair",Planned Lifetime Advocacy Network,FINA,"Tuesday, October 3, 2006",9:02 a.m. - 12:05 p.m. (PDT),FINA,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-27/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-27/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-27/minutes
88279,Mr. John Duncanson,", Forest Products Analyst",Jennings Capital Inc.,CIIT,"Monday, July 31, 2006",4:04 p.m. - 5:03 p.m. (EDT),CIIT,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/CIIT/meeting-20/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/CIIT/meeting-20/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/CIIT/meeting-20/minutes
88277,Mr. Yves Millette,", President & Chief Executive Officer",Intuit Canada,FINA,"Monday, September 25, 2006",3:31 p.m. - 6:30 p.m. (EDT),FINA,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-21/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-21/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-21/minutes
88278,Ms. Beverley Smith,", President",Mothers on the Rampage,FINA,"Wednesday, October 4, 2006",9:00 a.m. - 11:58 a.m. (MDT),FINA,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-29/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-29/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-29/minutes
88275,Mrs. Gayle McIntyre,", Chair",Response: A Thousand Voices,FINA,"Tuesday, October 24, 2006",9:01 a.m. - 12:03 p.m. (ADT),FINA,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-40/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-40/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-40/minutes
88271,Ms. Natalie Bull,", Executive Director",Heritage Canada Foundation,FINA,"Monday, October 25, 2010",3:30 p.m. - 6:36 p.m. (EDT),FINA,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/40-3/FINA/meeting-38/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/40-3/FINA/meeting-38/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/40-3/FINA/meeting-38/minutes
88271,Ms. Natalie Bull,", Executive Director",Heritage Canada Foundation,FINA,"Monday, October 25, 2010",3:33 p.m. - 7:01 p.m. (EDT),FINA,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/40-2/FINA/meeting-58/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/40-2/FINA/meeting-58/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/40-2/FINA/meeting-58/minutes
88271,Ms. Natalie Bull,", Executive Director",Heritage Canada Foundation,FOPO,"Monday, October 25, 2010",9:11 a.m. - 10:43 a.m. (EDT),FOPO,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-2/FOPO/meeting-22/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-2/FOPO/meeting-22/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-2/FOPO/meeting-22/minutes
88271,Ms. Natalie Bull,", Executive Director",Heritage Canada Foundation,OGGO,"Monday, October 25, 2010",9:06 a.m. - 10:57 a.m. (EST),OGGO,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-2/OGGO/meeting-13/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-2/OGGO/meeting-13/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-2/OGGO/meeting-13/minutes
88271,Ms. Natalie Bull,", Executive Director",Heritage Canada Foundation,CHPC,"Monday, October 25, 2010",3:34 p.m. - 5:25 p.m. (EST),CHPC,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/CHPC/meeting-22/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/CHPC/meeting-22/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/CHPC/meeting-22/minutes
88271,Ms. Natalie Bull,", Executive Director",Heritage Canada Foundation,FINA,"Monday, October 25, 2010",12:10 p.m. - 1:34 p.m. (EDT),FINA,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-20/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-20/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-20/minutes
