department_code,department_name_en,department_name_fr,minister_name,minister_name_en,minister_name_fr,start_date,end_date,witness_id
MMHA,Minister of Mental Health and Addictions,Ministre de la santé mentale et des dépendances,Carolyn Bennett,"Bennett, Carolyn (Hon.)","Bennett, Carolyn (L’hon.)",2021-10-26 10:30:00,2023-07-26 10:29:59,278939.0
MNA,Minister of Northern Affairs,Ministre des Affaires du Nord,Dan Vandal,"Vandal, Dan (Hon.)","Vandal, Dan (L’hon.)",2019-11-20 15:00:00,2100-01-01 00:00:00,253397.0
MND,Minister of National Defence,Ministre de la Défense nationale,Bill Blair,"Blair, Bill (Hon.)","Blair, Bill (L’hon.)",2023-07-26 10:30:00,2100-01-01 00:00:00,300003.0
MND,Minister of National Defence,Ministre de la Défense nationale,Anita Anand,"Anand, Anita (Hon.)","Anand, Anita (L’hon.)",2021-10-26 10:30:00,2023-07-26 10:29:59,278899.0
MND,Minister of National Defence,Ministre de la Défense nationale,Harjit S. Sajjan,"Sajjan, Harjit S. (Hon.)","Sajjan, Harjit S. (L’hon.)",2015-11-04 10:45:00,2021-10-26 10:29:59,214311.0
MNR,Minister of National Revenue,Ministre du Revenu national,Marie-Claude Bibeau,"Bibeau, Marie-Claude (Hon.)","Bibeau, Marie-Claude (L’hon.)",2023-07-26 10:30:00,2100-01-01 00:00:00,300001.0
MNR,Minister of National Revenue,Ministre du Revenu national,Diane Lebouthillier,"Lebouthillier, Diane (Hon.)","Lebouthillier, Diane (L’hon.)",2015-11-04 10:45:00,2023-07-26 10:29:59,278637.0
MNR1,Minister of Natural Resources,Ministre des Ressources naturelles,Jonathan Wilkinson,"Wilkinson, Jonathan (Hon.)","Wilkinson, Jonathan (L’hon.)",2021-10-26 10:30:00,2023-07-26 10:29:59,278937.0
MNR1,Minister of Natural Resources,Ministre des Ressources naturelles,Seamus O'Regan,"O'Regan, Seamus (Hon.)","O'Regan, Seamus (L’hon.)",2019-11-20 15:00:00,2021-10-26 10:29:59,253374.0
MOL,Minister of Official Languages,Ministre des Langues officielles,Ginette Petitpas Taylor,"Petitpas Taylor, Ginette (Hon.)","Petitpas Taylor, Ginette (L’hon.)",2021-10-26 10:30:00,2023-07-26 10:29:59,278948.0
MOL,Minister of Official Languages,Ministre des Langues officielles,Mélanie Joly,"Joly, Mélanie (Hon.)","Joly, Mélanie (L’hon.)",2019-11-20 15:00:00,2021-10-26 10:29:59,253380.0
MPS,Minister of Public Safety,Ministre de la sécurité publique,Marco Mendicino,"Mendicino, Marco (Hon.)","Mendicino, Marco (L’hon.)",2021-10-26 10:30:00,2023-07-26 10:29:59,278921.0
MPSDIIA,"Minister of Public Safety, Democratic Institutions and Intergovernmental Affairs","Ministre de la sécurité publique, des institutions démocratiques et des affaires intergouvernementales",Dominic LeBlanc,"LeBlanc, Dominic (Hon.)","LeBlanc, Dominic (L’hon.)",2023-07-26 10:30:00,2100-01-01 00:00:00,300017.0
MPSEP,Minister of Public Safety and Emergency Preparedness,Ministre de la Sécurité publique et de la Protection civile,Bill Blair,"Blair, Bill (Hon.)","Blair, Bill (L’hon.)",2019-11-20 15:00:00,2021-10-26 10:29:59,253386.0
MPSP,Minister of Public Services and Procurement,Ministre des Services publics et de l’Approvisionnement,Jean-Yves Duclos,"Duclos, Jean-Yves (Hon.)","Duclos, Jean-Yves (L’hon.)",2023-07-26 10:30:00,2100-01-01 00:00:00,300006.0
MPSP,Minister of Public Services and Procurement,Ministre des Services publics et de l’Approvisionnement,Helena Jaczek,"Jaczek, Helena (Hon.)","Jaczek, Helena (L’hon.)",2022-08-31 10:30:01,2023-07-26 10:29:59,291171.0
MPSP,Minister of Public Services and Procurement,Ministre des Services publics et de l’Approvisionnement,Filomena Tassi,"Tassi, Filomena (Hon.)","Tassi, Filomena (L’hon.)",2021-10-26 10:30:00,2022-08-31 10:30:00,278934.0
MPSP,Minister of Public Services and Procurement,Ministre des Services publics et de l’Approvisionnement,Anita Anand,"Anand, Anita (Hon.)","Anand, Anita (L’hon.)",2019-11-20 15:00:00,2021-10-26 10:29:59,253382.0
MRACOA,Minister responsible for the Atlantic Canada Opportunities Agency,Ministre responsable de l’agence de promotion économique du canada atlantique,Gudie Hutchings,"Hutchings, Gudie (Hon.)","Hutchings, Gudie (L’hon.)",2023-07-26 10:30:00,2100-01-01 00:00:00,
MRACOA,Minister responsible for the Atlantic Canada Opportunities Agency,Ministre responsable de l’agence de promotion économique du canada atlantique,Ginette Petitpas Taylor,"Petitpas Taylor, Ginette (Hon.)","Petitpas Taylor, Ginette (L’hon.)",2021-10-26 10:30:00,2023-07-26 10:29:59,278948.0
MRCNEDA,Minister responsible for the Canadian Northern Economic Development Agency,Ministre responsable de l’agence canadienne de développement économique du nord,Dan Vandal,"Vandal, Dan (Hon.)","Vandal, Dan (L’hon.)",2021-10-26 10:30:00,2100-01-01 00:00:00,253397.0
MRED,Minister of Rural Economic Development,Ministre du Développement économique rural,Gudie Hutchings,"Hutchings, Gudie (Hon.)","Hutchings, Gudie (L’hon.)",2021-10-26 10:30:00,2100-01-01 00:00:00,278915.0
MRED,Minister of Rural Economic Development,Ministre du Développement économique rural,Maryam Monsef,"Monsef, Maryam (Hon.)","Monsef, Maryam (L’hon.)",2019-11-20 15:00:00,2021-10-26 10:29:59,253407.0
MREDACRQ,Minister responsible for the Economic Development Agency of Canada for the Regions of Quebec,Ministre responsable de l’agence de développement économique du canada pour les régions du québec,Soraya Martinez Ferrada,"Martinez Ferrada, Soraya (Hon.)","Martinez Ferrada, Soraya (L’hon.)",2023-07-26 10:30:00,2100-01-01 00:00:00,
MREDACRQ,Minister responsible for the Economic Development Agency of Canada for the Regions of Quebec,Ministre responsable de l’agence de développement économique du canada pour les régions du québec,Pascale St-Onge,"St-Onge, Pascale (Hon.)","St-Onge, Pascale (L’hon.)",2021-10-26 10:30:00,2023-07-26 10:29:59,278949.0
MRFEDANO,Minister responsible for the Federal Economic Development Agency for Northern Ontario,Ministre responsable de l’agence fédérale de développement économique pour le nord de l’ontario,Patty Hajdu,"Hajdu, Patty (Hon.)","Hajdu, Patty (L’hon.)",2021-10-26 10:30:00,2100-01-01 00:00:00,278911.0
MRFEDASO,Minister responsible for the Federal Economic Development Agency for Southern Ontario,Ministre responsable de l’agence fédérale de développement économique pour le sud de l’ontario,Filomena Tassi,"Tassi, Filomena (Hon.)","Tassi, Filomena (L’hon.)",2022-08-31 10:30:01,2100-01-01 00:00:00,
MRFEDASO,Minister responsible for the Federal Economic Development Agency for Southern Ontario,Ministre responsable de l’agence fédérale de développement économique pour le sud de l’ontario,Helena Jaczek,"Jaczek, Helena (Hon.)","Jaczek, Helena (L’hon.)",2021-10-26 10:30:00,2022-08-31 10:30:00,
